date,item_id,p10,p50,p90
1/1/2026 0:00,40 - 44,496.178833,577.5721436,635.8438721
1/1/2026 0:00,45 - 49,510.8573608,575.4125977,634.7666016
1/1/2026 0:00,50 - 54,546.2982287,594.9949089,650.2877805
1/1/2026 0:00,55 - 59,516.1054077,542.3615723,595.2790527
1/1/2026 0:00,60 - 64,528.6627808,594.2227783,644.5479126
1/1/2026 0:00,65 - 69,517.7291053,623.6912398,729.6533743
1/1/2026 0:00,70 - 74,394.9634808,446.4720195,493.1246304
1/1/2026 0:00,75 - 79,197.0771484,220.2454834,239.7102203
1/1/2026 0:00,80 - 84,126.730979,149.1112369,173.0772588
1/1/2026 0:00,>= 85,241.9353704,269.7926809,295.5238442
1/1/2027 0:00,0 - 4,124.7512988,173.0963215,221.4413441
1/1/2027 0:00,5 - 9,169.3415373,228.1867072,289.5419795
1/1/2027 0:00,10 -14,221.71895,296.5093459,369.6762127
1/1/2027 0:00,15 - 19,232.5226288,283.1308594,328.5661011
1/1/2027 0:00,20 - 24,265.8204651,302.030365,353.5457764
1/1/2027 0:00,25 - 29,347.2408447,388.026123,448.6500244
1/1/2027 0:00,30 - 34,365.8491208,442.6344177,523.5089033
1/1/2027 0:00,35 - 39,467.9149475,559.2084351,634.9070435
1/1/2027 0:00,40 - 44,490.9932251,583.0372314,656.6533813
1/1/2027 0:00,45 - 49,503.8759766,581.1807251,645.0252075
1/1/2027 0:00,50 - 54,541.5216024,600.8877954,661.7598478
1/1/2027 0:00,55 - 59,512.1480103,532.6516113,586.5165405
1/1/2027 0:00,60 - 64,525.9578247,584.3375244,641.3618164
1/1/2027 0:00,65 - 69,511.9203985,649.9897119,788.0590254
1/1/2027 0:00,70 - 74,399.2304129,468.4389228,522.3569299
1/1/2027 0:00,75 - 79,194.2999725,226.180603,246.5946045
1/1/2027 0:00,80 - 84,118.2586821,146.9905326,176.2743004
1/1/2027 0:00,>= 85,241.9741612,278.3594571,309.1256676
1/1/2028 0:00,0 - 4,112.3049482,168.6990044,225.0930606
1/1/2028 0:00,5 - 9,164.5082268,222.1446284,287.2143996
1/1/2028 0:00,10 -14,206.6359167,295.4332352,377.3680631
1/1/2028 0:00,15 - 19,264.9682617,264.9682617,332.1129761
1/1/2028 0:00,20 - 24,282.011261,282.011261,354.3190918
1/1/2028 0:00,25 - 29,369.3220215,369.3220215,446.7990112
1/1/2028 0:00,30 - 34,357.2510372,428.2837429,527.313641
1/1/2028 0:00,35 - 39,542.9358521,542.9358521,628.7103882
1/1/2028 0:00,40 - 44,569.9576416,569.9576416,669.0909424
1/1/2028 0:00,45 - 49,572.7778931,572.7778931,683.4432373
1/1/2028 0:00,50 - 54,555.8730659,595.5922171,690.9123814
1/1/2028 0:00,55 - 59,525.9022827,525.9022827,604.269165
1/1/2028 0:00,60 - 64,565.1950073,565.1950073,636.2559204
1/1/2028 0:00,65 - 69,502.7840182,676.2881841,849.79235
1/1/2028 0:00,70 - 74,428.5553003,486.2496925,556.7427215
1/1/2028 0:00,75 - 79,217.7519226,217.7519226,260.653595
1/1/2028 0:00,80 - 84,112.5221294,142.4833723,181.9615322
1/1/2028 0:00,>= 85,252.4689104,284.0435721,326.9615543
1/1/2029 0:00,0 - 4,100.9089769,165.0876729,229.2663689
1/1/2029 0:00,5 - 9,144.6642429,217.0908942,290.2854383
1/1/2029 0:00,10 -14,194.2851094,296.3113303,393.219323
1/1/2029 0:00,15 - 19,245.384552,299.6842651,352.5224609
1/1/2029 0:00,20 - 24,268.6879272,305.6380005,366.7778625
1/1/2029 0:00,25 - 29,333.4382324,365.4454651,432.5691833
1/1/2029 0:00,30 - 34,315.3087821,417.1793607,527.4168184
1/1/2029 0:00,35 - 39,458.1853027,538.6552124,616.6947021
1/1/2029 0:00,40 - 44,490.0294189,585.4295044,676.1342163
1/1/2029 0:00,45 - 49,507.6229858,595.28125,694.6192627
1/1/2029 0:00,50 - 54,539.8472029,620.3896484,715.9369461
1/1/2029 0:00,55 - 59,497.9308472,530.2404175,626.5999146
1/1/2029 0:00,60 - 64,506.127594,569.0408325,644.6385498
1/1/2029 0:00,65 - 69,490.3662322,702.5866563,914.8070804
1/1/2029 0:00,70 - 74,406.4950248,507.4394059,584.1113296
1/1/2029 0:00,75 - 79,197.2786255,237.399292,276.3532715
1/1/2029 0:00,80 - 84,100.941907,142.7156136,188.9135516
1/1/2029 0:00,>= 85,239.9933779,292.8991683,339.1794548
1/1/2030 0:00,0 - 4,90.43699574,162.1203884,233.8037811
1/1/2030 0:00,5 - 9,125.9878993,208.3928016,289.8070321
1/1/2030 0:00,10 -14,177.6346451,295.0436176,411.857299
1/1/2030 0:00,15 - 19,236.1810608,281.8406677,343.8582153
1/1/2030 0:00,20 - 24,260.2592163,292.2691345,361.6879578
1/1/2030 0:00,25 - 29,320.5820923,357.8514404,433.8512878
1/1/2030 0:00,30 - 34,287.967584,403.7998861,532.1865565
1/1/2030 0:00,35 - 39,448.7052917,531.4666748,624.5545654
1/1/2030 0:00,40 - 44,490.2380371,584.2791748,686.6724243
1/1/2030 0:00,45 - 49,515.0105591,602.3887329,716.131897
1/1/2030 0:00,50 - 54,542.664647,626.2188957,739.8289306
1/1/2030 0:00,55 - 59,506.4318848,535.8895264,652.7365112
1/1/2030 0:00,60 - 64,513.4759521,571.5752563,671.3520508
1/1/2030 0:00,65 - 69,474.6845513,728.8851284,983.0857056
1/1/2030 0:00,70 - 74,414.990451,524.4908563,618.7678478
1/1/2030 0:00,75 - 79,204.6574402,242.5563049,290.0104675
1/1/2030 0:00,80 - 84,93.18114561,140.5740816,194.6124346
1/1/2030 0:00,>= 85,241.6304281,299.6383664,355.8241795
1/1/2031 0:00,0 - 4,80.77511279,159.6811093,238.5871058
1/1/2031 0:00,5 - 9,117.5590839,204.4149077,299.4719568
1/1/2031 0:00,10 -14,161.9033657,297.930689,427.0392648
1/1/2031 0:00,15 - 19,237.3512421,278.2789307,338.1637573
1/1/2031 0:00,20 - 24,255.333374,283.7987061,355.0788269
1/1/2031 0:00,25 - 29,316.4993591,348.4866943,436.151062
1/1/2031 0:00,30 - 34,301.7987338,461.713596,611.4284938
1/1/2031 0:00,35 - 39,440.7640991,515.8303223,619.529541
1/1/2031 0:00,40 - 44,480.646637,570.9291992,686.3134155
1/1/2031 0:00,45 - 49,498.0799866,590.0726318,714.7919922
1/1/2031 0:00,50 - 54,527.9463029,625.9500136,753.4393658
1/1/2031 0:00,55 - 59,473.9394531,520.3588867,663.1583252
1/1/2031 0:00,60 - 64,474.3569641,547.8431396,675.989563
1/1/2031 0:00,65 - 69,455.7341104,755.1836006,1054.633091
1/1/2031 0:00,70 - 74,433.2137448,550.5934613,681.3706073
1/1/2031 0:00,75 - 79,195.198761,239.8482056,288.6078796
1/1/2031 0:00,80 - 84,80.80730951,136.5582711,197.9205286
1/1/2031 0:00,>= 85,238.2096256,306.7439812,374.9505754
